addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Москва, 2-я Тверская-Ямская улица, 54",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.775299,37.589079,,,74955043487|74952230200,,АВ084,,,,https://av.ru/
"Москва, 2-я Фрунзенская улица, 10к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.723537,37.581395,,,74955043487|74952230200,,AVDAILY016,,,,https://av.ru/
"Московская область, городской округ Истра, деревня Покровское, Центральная улица, 33к6",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.8094,37.0243,,,74955043487|74952230200,,АВПК68_Т,,,,https://av.ru/
"Москва, Авиационная улица, 77к2",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.809064,37.451519,,,74955043487|74952230200,,АВ115,,,,https://av.ru/
"Москва, улица Алабяна, 7",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.80183,37.507857,,,74955043487|74952230200,,AB001,,,,https://av.ru/
"Москва, улица Арбат, 54/2с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.747149,37.582933,,,74955043487|74952230200,,АВ108,,,,https://av.ru/
"Москва, улица Арбат, 54/2с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.747137,37.583338,,,74955043487|74952230200,,АВ104,,,,https://av.ru/
"Москва, поселение Десеновское, Армейская улица, 1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.509615,37.361622,,,74955043487|74952230200,,АВ154,,,,https://av.ru/
"Москва, Бакунинская улица, 26-30с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.775273,37.685237,,,74955043487|74952230200,,АВ093,,,,https://av.ru/
"Московская область, Одинцовский городской округ, деревня Барвиха, 85/1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.738746,37.269957,,,74955043487|74952230200,,AB002,,,,https://av.ru/
"Москва, Бауманская улица, 32",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.772421,37.678133,,,74955043487|74952230200,,AVDAILY022,,,,https://av.ru/
"Москва, Большая Грузинская улица, 16",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.764768,37.578788,,,74955043487|74952230200,,АВ142,,,,https://av.ru/
"Москва, Большая Грузинская улица, 42",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.768815,37.580929,,,74955043487|74952230200,,AB003,,,,https://av.ru/
"Москва, Большая Грузинская улица, 63с1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.772937,37.585058,,,74955043487|74952230200,,АВ122,,,,https://av.ru/
"Москва, улица Большая Дмитровка, 5/6с3",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.759838,37.613615,,,74955043487|74952230200,,АВ105,,,,https://av.ru/
"Москва, Большая Дорогомиловская улица, 16",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.746671,37.557222,,,74955043487|74952230200,,AB004,,,,https://av.ru/
"Москва, Большая Садовая улица, 5к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.769638,37.591604,,,74955043487|74952230200,,АВ145,,,,https://av.ru/
"Москва, Большая Татарская улица, 30с8",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.738733,37.633853,,,74955043487|74952230200,,АВ127,,,,https://av.ru/
"Москва, Большая Тульская улица, 13",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.708694,37.621707,,,74955043487|74952230200,,AB005,,,,https://av.ru/
"Москва, улица Большая Якиманка, 28/30",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.735363,37.612922,,,74955043487|74952230200,,AB006,,,,https://av.ru/
"Москва, Боровское шоссе, 56",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.635119,37.346549,,,74955043487|74952230200,,АВ125,,,,https://av.ru/
"Москва, улица Бутырский Вал, 10",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.778546,37.585589,,,74955043487|74952230200,,AVDAILY001,,,,https://av.ru/
"Москва, Валовая улица, 18",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.730798,37.631221,,,74955043487|74952230200,,AB007,,,,https://av.ru/
"Москва, Варшавское шоссе, 34",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.680167,37.623811,,,74955043487|74952230200,,AB008,,,,https://av.ru/
"Москва, Верхняя улица, 20к1",Azbuka Vkusa,,,Russia,welcome@azbukavkusa.ru,{'@spider': 'av_dac'},,55.7793,37.5744,,,74955043487|74952230200,,МФВЕРХ20_Т,,,,https://av.ru/
