addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"Санкт-Петербург, Дунайский, 29",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.8323, 30.3699,,,,,0,,,,https://www.gpnbonus.ru/
"Ярославль, Силикатное, 2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.5936, 39.8610,,,,,1,,,,https://www.gpnbonus.ru/
"Одинцово, М1 (24 км, слева)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.6564, 37.2957,,,,,2,,,,https://www.gpnbonus.ru/
"Душанбе, Саидали Вализода (10 км, справа, а/д М41)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.5511, 68.8745,,,,,3,,,,https://www.gpnbonus.ru/
"Екатеринбург, Посадская, 8",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.8257, 60.5667,,,,,4,,,,https://www.gpnbonus.ru/
"Барабинск, Барабинская, 168",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3350, 78.3481,,,,,5,,,,https://www.gpnbonus.ru/
"Кемерово, Щетинкина, 19, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3606, 86.05,,,,,6,,,,https://www.gpnbonus.ru/
"Омск, Маршала Жукова, 154, 1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9643, 73.3928,,,,,7,,,,https://www.gpnbonus.ru/
"Бишкек, г. Бишкек, ул. Л. Толстого, 106 Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8658, 74.5735,,,,,8,,,,https://www.gpnbonus.ru/
"Минчики, Р99 (1 км, справа, вблизи д.Минчики)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,53.1204, 23.9114,,,,,9,,,,https://www.gpnbonus.ru/
"Краснодар, Селезнева, 197/2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.0178, 39.0534,,,,,10,,,,https://www.gpnbonus.ru/
"Жибек Жолы, Нур-Султан-Караганда (М36, 23 км, западная сторона)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.0536, 71.812,,,,,11,,,,https://www.gpnbonus.ru/
"Калининград, А. Невского, 120",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.7432, 20.5343,,,,,12,,,,https://www.gpnbonus.ru/
"Саранск, Титова 1,3",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.2170, 45.1669,,,,,13,,,,https://www.gpnbonus.ru/
"Уфа, Оренбургский тракт, 160",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.5670, 55.9167,,,,,14,,,,https://www.gpnbonus.ru/
"Канаш, Зеленая, 13",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.5124, 47.463,,,,,15,,,,https://www.gpnbonus.ru/
"Ярославль, Костромское, 4",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,57.5422, 39.9523,,,,,16,,,,https://www.gpnbonus.ru/
"Душанбе, Хофизи Шерози (пос. Лучоб)",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,38.6041, 68.773,,,,,17,,,,https://www.gpnbonus.ru/
"Екатеринбург, Титова, 37",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.769, 60.6154,,,,,18,,,,https://www.gpnbonus.ru/
"Новосибирск, Первомайская, 2/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9590, 83.1453,,,,,19,,,,https://www.gpnbonus.ru/
"Кемерово, Кузнецкий, 260, 2",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.3119, 86.03,,,,,20,,,,https://www.gpnbonus.ru/
"Омск, 10 лет Октября, 180, 5",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.9893, 73.4494,,,,,21,,,,https://www.gpnbonus.ru/
"Бишкек, Дэн Сяо Пина, 308А",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,42.8743, 74.542,,,,,22,,,,https://www.gpnbonus.ru/
"Краснодар, Уральская, 194/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,45.0429, 39.1081,,,,,23,,,,https://www.gpnbonus.ru/
"Минск, Пономаренко, 43Б",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,53.8931, 27.4877,,,,,24,,,,https://www.gpnbonus.ru/
"Нур-Султан, Биржан-Сала, 4/1",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,51.1937, 71.4077,,,,,25,,,,https://www.gpnbonus.ru/
"Ногинск, Третьего интернационала, 238",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.841, 38.4007,,,,,26,,,,https://www.gpnbonus.ru/
"Москва, Амурская, 11",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,55.8119, 37.7749,,,,,27,,,,https://www.gpnbonus.ru/
"Санкт-Петербург, Кушелевская дорога, 8",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,59.9887, 30.3680,,,,,28,,,,https://www.gpnbonus.ru/
"Калининград, Московский, 180",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.7092, 20.5474,,,,,29,,,,https://www.gpnbonus.ru/
"Чебоксары, Марпосадское,10",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,56.1269, 47.318,,,,,30,,,,https://www.gpnbonus.ru/
"Саранск, Красная, 52",Gazprom Neft,,,Russia,,{'@spider': 'gazpromneft_dac'},,54.1677, 45.2258,,,,,31,,,,https://www.gpnbonus.ru/
