addr_full,brand,brand_wikidata,city,country,email,extras,housenumber,lat,lon,name,opening_hours,phone,postcode,ref,state,store_url,street,website
"мкр. Железнодорожный, ул. Пролетарская, д. 1/2",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.749714,38.009597,Банкомат ВТБ,,8 (800) 100-24-24,,308710,,,,https://www.vtb.ru/
"ш. Копейское, д. 64",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.145442,61.451979,Банкомат ВТБ,,8 (800) 100-24-24,,310218,,,,https://www.vtb.ru/
"ш. Алтуфьевское, д. 8",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.852712,37.585474,Банкомат ВТБ,,8 (800) 100-24-24,,310219,,,,https://www.vtb.ru/
"ш. Новоугличское, д. 85",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,56.339709,38.124796,Банкомат ВТБ,,8 (800) 100-24-24,,310914,,,,https://www.vtb.ru/
"ул. Смольная, д. 63Б",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.870088,37.469927,Банкомат ВТБ,,8 (800) 100-24-24,,311052,,,,https://www.vtb.ru/
"ул. М.И. Неделина, д. 4",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,52.597231,39.59916,Банкомат ВТБ,,8 (800) 100-24-24,,311189,,,,https://www.vtb.ru/
"проезд Черепановых, д. 6, корп. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.832141,37.513224,Банкомат ВТБ,,8 (800) 100-24-24,,311431,,,,https://www.vtb.ru/
"ул. Минская, влад. 27",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,53.108233,46.567488,Банкомат ВТБ,,8 (800) 100-24-24,,312143,,,,https://www.vtb.ru/
ш. Карачаровское,VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.736099,37.763435,Банкомат ВТБ,,8 (800) 100-24-24,,313309,,,,https://www.vtb.ru/
"ул. Вокзальная, д. 1",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.565488,38.226235,Банкомат ВТБ,,8 (800) 100-24-24,,313310,,,,https://www.vtb.ru/
"проезд 5-й Марьиной Рощи, д. 15А",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.798228,37.619968,Банкомат ВТБ,,8 (800) 100-24-24,,314078,,,,https://www.vtb.ru/
"пл. Тверская Застава, д. 7, корп. 3",VTB,,,Russia,info@vtb.ru,{'@spider': 'vtb_atm_machines_dac'},,55.775565,37.579391,Банкомат ВТБ,,8 (800) 100-24-24,,314182,,,,https://www.vtb.ru/
